S.No,States/UTs,Type of Traffic Violations,Number of Accidents,Persons  Killed,Greviously Injured,Minor Injury
23,Tamil Nadu,Use of Mobile Phone,31,5,21,23
24,Telangana,Use of Mobile Phone,24,9,0,19
25,Tripura,Use of Mobile Phone,0,0,0,0
26,Uttarakhand,Use of Mobile Phone,1,0,1,0
27,Uttar Pradesh,Use of Mobile Phone,3671,2016,1623,795
28,West Bengal,Use of Mobile Phone,11,5,6,1
29,A & N Islands,Use of Mobile Phone,0,0,0,0
30,Chandigarh,Use of Mobile Phone,0,0,0,0
31,D & N Haveli,Use of Mobile Phone,0,0,0,0
32,Daman & Diu,Use of Mobile Phone,0,0,0,0
33,Delhi,Use of Mobile Phone,157,35,9,166
34,Jammu & Kashmir*,Use of Mobile Phone,19,0,0,0
35,Ladakh,Use of Mobile Phone,7,2,2,8
36,Lakshadweep,Use of Mobile Phone,0,0,0,0
37,Puducherry,Use of Mobile Phone,1,0,0,2
1,Andhra Pradesh,Others,3513,1427,633,2934
2,Arunachal Pradesh,Others,60,31,39,29
3,Assam,Others,803,327,455,69
4,Bihar,Others,5369,4369,4124,287
5,Chhattisgarh,Others,1335,476,173,1078
6,Goa,Others,250,19,21,12
7,Gujarat,Others,60,28,55,31
8,Haryana,Others,3103,1441,997,1689
9,Himachal Pradesh,Others,1115,537,564,1054
10,Jharkhand,Others,384,309,212,74
11,Karnataka,Others,1906,601,1354,952
12,Kerala,Others,11653,1417,9089,3397
13,Madhya Pradesh,Others,4808,1159,452,4138
14,Maharashtra,Others,7537,3227,4087,2088
15,Manipur,Others,83,36,58,62
16,Meghalaya,Others,93,74,41,16
17,Mizoram,Others,9,10,0,0
18,Nagaland,Others,216,25,19,97
19,Orissa,Others,1733,820,882,679
20,Punjab,Others,542,487,165,43
21,Rajasthan,Others,2551,1217,924,1470
22,Sikkim,Others,16,5,19,15
23,Tamil Nadu,Others,6534,2195,2273,3867
24,Telangana,Others,2035,499,58,1810
25,Tripura,Others,0,0,0,0
26,Uttarakhand,Others,200,174,96,57
27,Uttar Pradesh,Others,11327,6548,4678,2691
28,West Bengal,Others,7742,3513,5420,1262
29,A & N Islands,Others,72,16,21,48
30,Chandigarh,Others,0,0,0,0
31,D & N Haveli,Others,3,1,4,0
32,Daman & Diu,Others,0,0,0,0
33,Delhi,Others,2033,589,26,1668
34,Jammu & Kashmir*,Others,0,0,0,0
35,Ladakh,Others,121,17,9,119
36,Lakshadweep,Others,1,1,0,0
37,Puducherry,Others,329,44,143,177
1,Andhra Pradesh,Driving on Wrong side,540,158,171,357
2,Arunachal Pradesh,Driving on Wrong side,41,22,36,17
3,Assam,Driving on Wrong side,528,187,378,59
4,Bihar,Driving on Wrong side,1134,903,963,24
5,Chhattisgarh,Driving on Wrong side,580,253,70,382
6,Goa,Driving on Wrong side,113,3,10,11
7,Gujarat,Driving on Wrong side,576,203,396,327
8,Haryana,Driving on Wrong side,546,203,112,369
9,Himachal Pradesh,Driving on Wrong side,221,64,134,205
10,Jharkhand,Driving on Wrong side,214,151,103,36
11,Karnataka,Driving on Wrong side,962,234,683,915
12,Kerala,Driving on Wrong side,1729,103,1430,640
13,Madhya Pradesh,Driving on Wrong side,3712,717,653,3086
14,Maharashtra,Driving on Wrong side,808,376,466,253
15,Manipur,Driving on Wrong side,21,6,8,17
16,Meghalaya,Driving on Wrong side,22,8,11,17
17,Mizoram,Driving on Wrong side,7,2,3,1
18,Nagaland,Driving on Wrong side,53,0,10,22
19,Orissa,Driving on Wrong side,934,381,547,396
20,Punjab,Driving on Wrong side,738,522,292,168
21,Rajasthan,Driving on Wrong side,1110,495,340,753
22,Sikkim,Driving on Wrong side,43,19,32,34
23,Tamil Nadu,Driving on Wrong side,1015,281,468,593
24,Telangana,Driving on Wrong side,318,68,9,307
25,Tripura,Driving on Wrong side,31,10,34,0
26,Uttarakhand,Driving on Wrong side,84,47,46,24
27,Uttar Pradesh,Driving on Wrong side,4800,2560,2009,1225
28,West Bengal,Driving on Wrong side,104,53,96,17
29,A & N Islands,Driving on Wrong side,1,0,0,1
30,Chandigarh,Driving on Wrong side,0,0,0,0
31,D & N Haveli,Driving on Wrong side,5,4,2,3
32,Daman & Diu,Driving on Wrong side,0,0,0,0
33,Delhi,Driving on Wrong side,358,80,24,363
34,Jammu & Kashmir,Driving on Wrong side,82,2,58,51
35,Ladakh,Driving on Wrong side,14,3,7,11
36,Lakshadweep,Driving on Wrong side,0,0,0,0
37,Puducherry,Driving on Wrong side,47,4,7,59
