S.No,States/UTs,YEAR,Changed Total Road Accident,Changed Total Accidents Per Lakh Population,Changed Total Killed in Road Accidents,Changed Total Persons Died in Road Accidents Per Lakh Population,Changed Total Injured in Road Accidents,Changed Total Injured in Road Accidents Per Lakh Population,Changed Severity of Road Accidents,Changed Fatal Road Accidents ,Changed Road Accidents on National Highways,Changed Killed in Road Accidents on National Highways,Changed Persons Injured in Road Accidents on National Highways,Changed Fatal Road Accidents on National Highways,Changed Road Accidents on State Highways,Changed Killed in Road Accidents on State Highways,Changed Injured in Road Accidents on State Highways,Changed Fatal Road Accidents on State Highways,Changed Total Other Road Accidents,Changed Killed on Other Road Accidents,Changed Fatal Accidents Other Road Accidents,Changed Injured on Other Road Accidents,Changed
11,Karnataka,2019,-1049,-2,-32,0,-1115,-2,0.6,-33,-275,-144,332,-160,-239,120,-375,126,-535,-8,1,-1072,
12,Kerala,2019,930,2,137,0,597,1,0.1,114,298,11,249,11,545,103,579,94,87,23,9,-231,
13,Madhya Pradesh,2019,-728,-1,543,1,-1846,-3,1.4,461,473,303,307,253,-744,-107,-2066,-117,-457,347,325,-87,
14,Maharashtra,2019,-2792,-2,-473,-1,-2737,-3,1.7,-311,-995,-289,-1194,-159,-541,-102,-563,-48,-1256,-82,-104,-980,
15,Manipur,2019,71,2,22,1,13,1,0.9,24,66,23,17,25,-3,5,-32,3,8,-6,-4,28,
16,Meghalaya,2019,83,3,-3,0,17,1,-8.5,4,207,16,98,14,41,14,22,16,-165,-33,-26,-103,
17,Mizoram,2019,9,1,3,0,-24,-2,-7.5,7,-2,4,-7,3,23,11,-4,13,-12,-12,-9,-13,
18,Nagaland,2019,-72,-3,-13,-1,-89,-4,-1.8,-11,-9,6,-30,3,-42,-9,-41,-8,-21,-10,-6,-18,
19,Odisha,2019,-198,0,18,0,-617,-1,1,-17,-59,1,-135,-119,91,28,-65,32,-230,-11,70,-417,
20,Punjab,2019,-80,-1,-215,-1,428,2,-2.4,-289,-398,-392,-128,-370,-61,-116,97,-138,379,293,219,459,
21,Rajasthan,2019,1737,2,243,0,1432,1,-2.5,176,157,-4,-21,-64,320,116,412,114,1260,131,126,1041,
22,Sikkim,2019,-18,-3,-12,-2,-52,-8,-2.1,10,-5,-2,-21,4,-37,-23,-56,-12,24,13,18,25,
23,Tamil Nadu,2019,-6692,-10,-1691,-2,-7400,-11,-0.7,-1562,-1950,-536,-2246,-453,-3570,-867,-4262,-814,-1172,-288,-295,-892,
24,Telangana,2019,-660,0,361,0,-1614,0,2.6,421,865,427,542,409,-1020,-263,-1387,-237,-505,197,249,-769,
25,Tripura,2019,103,3,26,0,75,2,-2.1,30,60,29,70,24,27,-2,-1,6,16,-1,0,6,
26,Uttarakhand,2019,-116,-2,-180,-2,-114,-1,-7.2,-47,-154,-203,-54,-128,0,-13,-57,43,38,36,38,-3,
