S. No.,States/UTs,Vehicle Type,Total Road Accidents,Killed,Greviously Injured,Minor Injured
5,Chhattisgarh,"Cars, Taxis & Vans",1606,336,107,1227
6,Goa,"Cars, Taxis & Vans",953,17,39,154
7,Gujarat,"Cars, Taxis & Vans",2250,939,1305,1264
8,Haryana,"Cars, Taxis & Vans",1338,563,247,892
9,Himachal Pradesh,"Cars, Taxis & Vans",932,471,361,1007
10,Jharkhand,"Cars, Taxis & Vans",742,510,460,86
11,Karnataka,"Cars, Taxis & Vans",5594,1351,2760,4950
12,Kerala(*),"Cars, Taxis & Vans",12031,220,1261,1359
13,Madhya Pradesh,"Cars, Taxis & Vans",6938,1668,725,5974
14,Maharashtra,"Cars, Taxis & Vans",4178,1689,2767,1250
15,Manipur,"Cars, Taxis & Vans",50,16,17,66
16,Meghalaya,"Cars, Taxis & Vans",66,55,54,40
17,Mizoram,"Cars, Taxis & Vans",29,25,27,12
18,Nagaland,"Cars, Taxis & Vans",373,18,55,117
19,Odisha,"Cars, Taxis & Vans",1429,535,854,703
20,Punjab,"Cars, Taxis & Vans",1618,1296,571,295
21,Rajasthan,"Cars, Taxis & Vans",5264,2091,1329,3621
22,Sikkim,"Cars, Taxis & Vans",77,17,35,36
23,Tamil Nadu,"Cars, Taxis & Vans",3395,935,1250,4326
24,Telangana,"Cars, Taxis & Vans",2906,604,300,2437
25,Tripura,"Cars, Taxis & Vans",73,29,108,3
26,Uttarakhand,"Cars, Taxis & Vans",149,55,116,66
27,Uttar Pradesh,"Cars, Taxis & Vans",6022,3452,2582,1460
28,West Bengal,"Cars, Taxis & Vans",1400,678,1544,288
29,A & N  Islands,"Cars, Taxis & Vans",22,1,3,14
30,Chandigarh,"Cars, Taxis & Vans",33,6,0,26
31,D & N Haveli,"Cars, Taxis & Vans",15,2,11,19
32,Daman & Diu,"Cars, Taxis & Vans",0,0,0,0
33,Delhi,"Cars, Taxis & Vans",254,66,6,241
34,Jammu & Kashmir,"Cars, Taxis & Vans",1799,200,1211,867
35,Ladakh,"Cars, Taxis & Vans",138,34,27,122
36,Lakshadweep,"Cars, Taxis & Vans",0,0,0,0
37,Puducherry,"Cars, Taxis & Vans",50,1,32,29
1,Andhra Pradesh,Trucks/Lorries,1166,374,314,653
2,Arunachal Pradesh,Trucks/Lorries,24,9,12,15
3,Assam,Trucks/Lorries,624,175,473,15
4,Bihar,Trucks/Lorries,248,125,127,11
5,Chhattisgarh,Trucks/Lorries,544,265,48,408
6,Goa,Trucks/Lorries,317,8,8,32
7,Gujarat,Trucks/Lorries,1300,570,510,493
8,Haryana,Trucks/Lorries,439,256,95,236
9,Himachal Pradesh,Trucks/Lorries,293,80,58,190
10,Jharkhand,Trucks/Lorries,550,383,185,30
11,Karnataka,Trucks/Lorries,2298,622,869,1434
12,Kerala(*),Trucks/Lorries,2244,44,99,58
13,Madhya Pradesh,Trucks/Lorries,3145,849,318,2235
14,Maharashtra,Trucks/Lorries,1417,643,720,387
15,Manipur,Trucks/Lorries,37,14,37,47
16,Meghalaya,Trucks/Lorries,21,20,17,3
17,Mizoram,Trucks/Lorries,18,8,2,8
18,Nagaland,Trucks/Lorries,88,6,19,30
19,Odisha,Trucks/Lorries,1076,431,476,388
20,Punjab,Trucks/Lorries,64,53,15,8
21,Rajasthan,Trucks/Lorries,2246,1027,401,1111
22,Sikkim,Trucks/Lorries,21,7,15,10
23,Tamil Nadu,Trucks/Lorries,1028,270,294,830
24,Telangana,Trucks/Lorries,1350,511,116,964
25,Tripura,Trucks/Lorries,21,10,25,0
26,Uttarakhand,Trucks/Lorries,32,12,15,2
27,Uttar Pradesh,Trucks/Lorries,3374,1954,1406,774
28,West Bengal,Trucks/Lorries,1424,548,1441,322
29,A & N  Islands,Trucks/Lorries,3,0,1,3
30,Chandigarh,Trucks/Lorries,3,0,3,3
31,D & N Haveli,Trucks/Lorries,3,1,1,5
32,Daman & Diu,Trucks/Lorries,0,0,0,0
33,Delhi,Trucks/Lorries,19,6,1,13
