S.No,States/UTs,TIN,State Code,Age of impacting Vehicle,Total Accidents,Persons Killed,Greviously Injured,Minor Injury
11,Karnataka,29,KA,> 15 Years,3448,824,1921,2417
12,Kerala,32,KL,> 15 Years,1231,154,995,432
13,Madhya Pradesh,23,MP,> 15 Years,8936,2173,1165,7470
14,Maharashtra,27,MH,> 15 Years,1792,1001,888,389
15,Manipur,14,MN,> 15 Years,30,19,5,25
16,Meghalaya,17,ML,> 15 Years,26,17,6,6
17,Mizoram,15,MZ,> 15 Years,3,3,0,0
18,Nagaland,13,NL,> 15 Years,40,4,5,18
19,Orissa,21,OD,> 15 Years,1755,790,1110,698
20,Punjab,3,PB,> 15 Years,885,629,340,227
21,Rajasthan,8,RJ,> 15 Years,1581,826,407,1000
22,Sikkim,11,SK,> 15 Years,15,6,15,31
23,Tamil Nadu,33,TN,> 15 Years,1919,583,854,1089
24,Telangana,36,TS,> 15 Years,722,226,82,603
25,Tripura,16,TR,> 15 Years,7,4,4,0
26,Uttarakhand,9,UP,> 15 Years,383,260,245,14
27,Uttar Pradesh,5,UK,> 15 Years,11254,6595,4819,2618
28,West Bengal,19,WB,> 15 Years,1072,559,872,195
29,A & N Islands,35,AN,> 15 Years,21,5,8,11
30,Chandigarh,4,CH,> 15 Years,0,0,0,0
31,D & N Haveli,26,DNHDD,> 15 Years,28,10,32,31
33,Delhi*,7,DL,> 15 Years,1530,239,26,1523
34,Jammu & Kashmir,1,JK,> 15 Years,134,23,57,92
35,Ladakh,38,LA,> 15 Years,14,4,4,9
36,Lakshadweep,31,LD,> 15 Years,3,0,0,6
37,Puducherry,34,PY,> 15 Years,77,12,48,47
1,Andhra Pradesh,37,AD,Age not known,1993,809,417,1894
2,Arunachal Pradesh,12,AR,Age not known,6,2,4,4
3,Assam,18,AS,Age not known,1155,535,824,64
4,Bihar,10,BR,Age not known,1257,1100,255,15
5,Chhattisgarh,22,CG,Age not known,3009,1375,318,2139
6,Goa,30,GA,Age not known,39,3,1,4
